Type,Cons_per_e,Itinerary,Avg_Slope,Shape_Leng
Main Road,Appius Claudius Caecus (312 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",4.775971096,6996.157851
Main Road,Appius Claudius Caecus (312 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",2.004745517,16271.74585
Main Road,Appius Claudius Caecus (312 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",3.308409704,6109.715588
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",0.784021136,12403.35871
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",1.595971005,63843.26105
Main Road,,Tabula Peutingeriana,6.224573751,51789.4598
Secondary Road,,,7.387794966,24379.38105
Secondary Road,,,1.899190833,19684.01474
Secondary Road,,,2.064964399,21805.30478
Secondary Road,,,0.774643333,4655.228621
Main Road,,Itinerarium Antonini,1.097477077,4819.294377
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",2.230514683,10501.78222
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",3.311704247,30557.58519
Main Road,,Tabula Peutingeriana,2.762381833,16788.02755
Main Road,,Tabula Peutingeriana,3.317188911,4806.247059
Secondary Road,,,3.824120607,41794.61077
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",6.109992939,13497.33205
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",2.736643501,52883.53639
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",4.138287762,15370.60621
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",0.596939729,1450.4701
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",4.831696639,30677.14452
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",5.366556849,42681.22753
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",6.929169293,23465.46994
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",7.797225257,451.2758883
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",6.609035524,23394.49466
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",1.929764996,980.8287078
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",1.016370777,2638.271877
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",3.060678454,32927.31935
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",3.580580298,8967.38622
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",3.390227027,22276.10786
Secondary Road,,,5.264734198,85002.12964
Main Road,Publius Popillius Laenas (132 BCE),"Itinerarium Antonini, Via Popillia Capua-Rhegium",8.212200125,19911.10953
Secondary Road,,,0.749006908,7785.450898
Secondary Road,,,1.533771326,11606.83188
Secondary Road,,,6.764275187,26513.74695
Secondary Road,,,1.855036772,5348.259757
Secondary Road,,,10.66313814,35892.28948
Secondary Road,,,5.447382952,6844.43295
